date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_result,year,winner,first_shooter
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,Home Win,1930,,
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True,Away Win,1930,,
1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False,Home Win,1930,,
1930-07-22,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-26,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True,Home Win,1930,,
1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,False,Home Win,1930,,
1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,Home Win,1930,,
1934-05-27,Argentina,Sweden,2,3,FIFA World Cup,Bologna,Italy,True,Away Win,1934,,
1934-05-27,Austria,France,3,2,FIFA World Cup,Turin,Italy,True,Home Win,1934,,
1934-05-27,Belgium,Germany,2,5,FIFA World Cup,Florence,Italy,True,Away Win,1934,,
1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True,Away Win,1934,,
1934-05-27,Czechoslovakia,Romania,2,1,FIFA World Cup,Trieste,Italy,True,Home Win,1934,,
1934-05-27,Egypt,Hungary,2,4,FIFA World Cup,Naples,Italy,True,Away Win,1934,,
1934-05-27,Italy,United States,7,1,FIFA World Cup,Rome,Italy,False,Home Win,1934,,
1934-05-27,Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,True,Away Win,1934,,
1934-05-31,Austria,Hungary,2,1,FIFA World Cup,Bologna,Italy,True,Home Win,1934,,
1934-05-31,Czechoslovakia,Switzerland,3,2,FIFA World Cup,Turin,Italy,True,Home Win,1934,,
1934-05-31,Germany,Sweden,2,1,FIFA World Cup,Milan,Italy,True,Home Win,1934,,
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False,Draw,1934,,
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False,Home Win,1934,,
1934-06-03,Czechoslovakia,Germany,3,1,FIFA World Cup,Rome,Italy,True,Home Win,1934,,
1934-06-03,Italy,Austria,1,0,FIFA World Cup,Milan,Italy,False,Home Win,1934,,
1934-06-07,Austria,Germany,2,3,FIFA World Cup,Naples,Italy,True,Away Win,1934,,
1934-06-10,Italy,Czechoslovakia,2,1,FIFA World Cup,Rome,Italy,False,Home Win,1934,,
1938-06-04,Germany,Switzerland,1,1,FIFA World Cup,Paris,France,True,Draw,1938,,
1938-06-05,Brazil,Poland,6,5,FIFA World Cup,Strasbourg,France,True,Home Win,1938,,
1938-06-05,Cuba,Romania,3,3,FIFA World Cup,Toulouse,France,True,Draw,1938,,
1938-06-05,Czechoslovakia,Netherlands,3,0,FIFA World Cup,Le Havre,France,True,Home Win,1938,,
1938-06-05,France,Belgium,3,1,FIFA World Cup,Colombes,France,False,Home Win,1938,,
1938-06-05,Hungary,Indonesia,6,0,FIFA World Cup,Reims,France,True,Home Win,1938,,
1938-06-05,Italy,Norway,2,1,FIFA World Cup,Marseille,France,True,Home Win,1938,,
1938-06-09,Cuba,Romania,2,1,FIFA World Cup,Toulouse,France,True,Home Win,1938,,
1938-06-09,Germany,Switzerland,2,4,FIFA World Cup,Paris,France,True,Away Win,1938,,
1938-06-12,Brazil,Czechoslovakia,1,1,FIFA World Cup,Bordeaux,France,True,Draw,1938,,
1938-06-12,Cuba,Sweden,0,8,FIFA World Cup,Antibes,France,True,Away Win,1938,,
1938-06-12,France,Italy,1,3,FIFA World Cup,Colombes,France,False,Away Win,1938,,
1938-06-12,Hungary,Switzerland,2,0,FIFA World Cup,Lille,France,True,Home Win,1938,,
1938-06-14,Brazil,Czechoslovakia,2,1,FIFA World Cup,Bordeaux,France,True,Home Win,1938,,
1938-06-16,Brazil,Italy,1,2,FIFA World Cup,Marseille,France,True,Away Win,1938,,
1938-06-16,Hungary,Sweden,5,1,FIFA World Cup,Paris,France,True,Home Win,1938,,
1938-06-19,Brazil,Sweden,4,2,FIFA World Cup,Bordeaux,France,True,Home Win,1938,,
1938-06-19,Hungary,Italy,2,4,FIFA World Cup,Colombes,France,True,Away Win,1938,,
1950-06-24,Brazil,Mexico,4,0,FIFA World Cup,Rio de Janeiro,Brazil,False,Home Win,1950,,
1950-06-25,Chile,England,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,Away Win,1950,,
1950-06-25,Italy,Sweden,2,3,FIFA World Cup,São Paulo,Brazil,True,Away Win,1950,,
1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True,Home Win,1950,,
1950-06-25,Switzerland,Yugoslavia,0,3,FIFA World Cup,Belo Horizonte,Brazil,True,Away Win,1950,,
1950-06-28,Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,False,Draw,1950,,
1950-06-28,Mexico,Yugoslavia,1,4,FIFA World Cup,Porto Alegre,Brazil,True,Away Win,1950,,
